     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       600,         9,         0,   0.002,pymatching,f0ea4ec65e5ced9ab3a49898c80ffa7e327c3d8ee9868ac268f99f7b92b668c2,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001556,""p"":0.004667,""q"":0.003111}",
      1000,        19,         0,   0.003,pymatching,f0ea4ec65e5ced9ab3a49898c80ffa7e327c3d8ee9868ac268f99f7b92b668c2,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001556,""p"":0.004667,""q"":0.003111}",
      1000,        16,         0,   0.002,pymatching,807e2951c18f938b4eea8758d77efbf20c25b0c6b2c91fe24a7c5a01dd0c148b,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001333,""p"":0.004,""q"":0.002667}",
       200,         3,         0,   0.002,pymatching,f0ea4ec65e5ced9ab3a49898c80ffa7e327c3d8ee9868ac268f99f7b92b668c2,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001556,""p"":0.004667,""q"":0.003111}",
       800,        11,         0,   0.002,pymatching,807e2951c18f938b4eea8758d77efbf20c25b0c6b2c91fe24a7c5a01dd0c148b,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001333,""p"":0.004,""q"":0.002667}",
      1554,        18,         0,   0.003,pymatching,f0ea4ec65e5ced9ab3a49898c80ffa7e327c3d8ee9868ac268f99f7b92b668c2,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001556,""p"":0.004667,""q"":0.003111}",
       600,         9,         0,   0.002,pymatching,010aa1cff91a15635a79cbc00309a80d09ee1852cd8703e204a4315b8455b7dd,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001778,""p"":0.005333,""q"":0.003556}",
       341,         2,         0,   0.002,pymatching,f0ea4ec65e5ced9ab3a49898c80ffa7e327c3d8ee9868ac268f99f7b92b668c2,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001556,""p"":0.004667,""q"":0.003111}",
        40,         2,         0,   0.001,pymatching,f0ea4ec65e5ced9ab3a49898c80ffa7e327c3d8ee9868ac268f99f7b92b668c2,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001556,""p"":0.004667,""q"":0.003111}",
       872,         8,         0,   0.002,pymatching,807e2951c18f938b4eea8758d77efbf20c25b0c6b2c91fe24a7c5a01dd0c148b,"{""bias"":2,""bias_type"":""depolarizing_vs_dephasing"",""code"":""DomainWallFloquetColourCode"",""distance"":4,""layers"":4,""m"":0.001333,""p"":0.004,""q"":0.002667}",
